echange_rate_dt,usd2usd,usd2eu,usd2can,usd2uk,usd2inr,usd2jp
1/31/2020,1,1.0824,1.3417,0.8301,82.8425,133.6916
1/31/2020,1,1.0901,1.3321,0.8191,82.8355,132.1126
1/31/2020,1,1.085,1.3347,0.8261,82.7204,132.5566
1/31/2020,1,1.0829,1.3437,0.8265,82.5514,130.8513
1/31/2020,1,1.0891,1.3391,0.8218,82.5276,130.7214
1/31/2020,1,1.0864,1.3404,0.8272,82.5282,131.1691
1/31/2020,1,1.0802,1.3431,0.8349,82.7193,132.0561
1/31/2020,1,1.0815,1.3418,0.8285,82.6765,132.1548
1/31/2020,1,1.0949,1.3364,0.816,81.9164,128.4173
1/31/2020,1,1.0997,1.3289,0.8126,82.1819,128.431
1/31/2020,1,1.0916,1.3316,0.8116,81.7936,129.7687
1/31/2020,1,1.0798,1.345,0.813,81.8204,130.4071
1/31/2020,1,1.0854,1.3328,0.8069,81.5266,130.0468
1/31/2020,1,1.0847,1.3326,0.8089,81.6125,129.8665
1/31/2020,1,1.0893,1.3371,0.8072,81.5287,129.7659
1/31/2020,1,1.0856,1.337,0.8113,81.5644,129.7757
1/31/2020,1,1.0801,1.337,0.8139,81.6205,130.291
1/31/2020,1,1.0857,1.3359,0.8092,81.3651,130.3008
1/31/2020,1,1.0867,1.347,0.8092,81.1168,130.1127
1/31/2020,1,1.0901,1.3503,0.8104,81.411,128.5437
1/31/2020,1,1.0942,1.3382,0.8075,81.3193,128.9695
1/31/2020,1,1.0845,1.3416,0.8171,81.6905,128.6544
1/31/2020,1,1.0784,1.3398,0.8209,81.6496,128.4869
1/31/2020,1,1.0759,1.3403,0.8212,81.4648,128.5556
1/31/2020,1,1.0712,1.3404,0.8233,81.4918,130.5329
1/31/2020,1,1.0783,1.3426,0.8251,81.7084,132.6975
1/31/2020,1,1.0823,1.3412,0.8237,81.7896,132.351
1/31/2020,1,1.0842,1.3369,0.8232,82.3467,132.1522
1/31/2020,1,1.0645,1.3649,0.8426,82.7717,134.5714
1/31/2020,1,1.0774,1.3504,0.833,82.5163,132.9592
1/31/2020,1,1.0768,1.3551,0.831,82.8295,130.8991
1/31/2020,1,1.0674,1.3669,0.835,82.8919,130.8013
1/31/2020,1,1.082,1.3579,0.8296,82.7726,130.6936
1/31/2020,1,1.0832,1.3538,0.8315,82.6655,131.877
1/31/2020,1,1.0822,1.3593,0.8315,82.8524,133.5712
1/31/2020,1,1.0788,1.3497,0.8276,82.7954,133.656
1/31/2020,1,1.0748,1.3539,0.8314,82.9074,133.3584
1/31/2020,1,1.0765,1.3588,0.8288,82.8074,132.6116
1/31/2020,1,1.0793,1.3622,0.8299,82.7955,132.0606
1/31/2020,1,1.0813,1.3609,0.8241,82.8404,131.9011
1/31/2020,1,1.0756,1.3634,0.8258,82.7105,132.6352
1/31/2020,1,1.0722,1.3655,0.822,82.593,136.488
1/31/2020,1,1.0749,1.366,0.8215,82.7046,137.0468
1/31/2020,1,1.077,1.3599,0.8115,82.794,136.5879
1/31/2020,1,1.0795,1.3561,0.8087,82.4899,134.9235
1/31/2020,1,1.0685,1.36,0.8132,82.7847,137.3637
1/31/2020,1,1.0717,1.366,0.8143,82.6103,137.1521
1/31/2020,1,1.0713,1.3619,0.814,82.3501,135.7136
1/31/2020,1,1.0637,1.3601,0.82,82.399,136.6575
1/31/2020,1,1.0643,1.3664,0.8207,82.3364,137.183
1/31/2020,1,1.0652,1.3623,0.8194,82.3968,136.2971
1/31/2020,1,1.0702,1.3411,0.8131,81.7275,135.1374
1/31/2020,1,1.0716,1.3437,0.8147,81.2711,134.1051
1/31/2020,1,1.0594,1.3448,0.8199,81.2445,136.2923
1/31/2020,1,1.053,1.3513,0.8335,81.3623,139.0517
1/31/2020,1,1.0511,1.3511,0.8317,81.6658,138.2983
1/31/2020,1,1.0599,1.344,0.8277,81.6563,138.488
1/31/2020,1,1.0548,1.3363,0.8278,81.6525,139.3928
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
